symbol,name,exchange,assetType,ipoDate,delistingDate,status
AGM,Federal Agricultural Mortgage Corp Class C,NYSE,Stock,8/18/1995,null,Active
AGM-A,Federal Agricultural Mortgage Corp,NYSE,Stock,5/30/1996,null,Active
AGM-P-C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,NYSE,Stock,6/19/2014,null,Active
AGM-P-D,Federal Agricultural Mortgage Corporation 5700 NonCumulative Preferred Stock Series D,NYSE,Stock,5/9/2019,null,Active
AGM-P-E,,NYSE,Stock,5/14/2020,null,Active
AGMH,AGM Group Holdings Inc Class A,NASDAQ,Stock,4/18/2018,null,Active
AGNC,American Capital Agency Corp,NASDAQ,Stock,5/15/2008,null,Active
AGNCM,AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Ser D 11000th int,NASDAQ,Stock,2/28/2019,null,Active
AGNCN,AGNC Investment Corp Depositary Shares Each Representing a 11000th Interest in a Share of 700 Series C FixedToFloating Rate Cumulative Redeemable Preferre,NASDAQ,Stock,8/16/2017,null,Active
AGNCO,,NASDAQ,Stock,9/27/2019,null,Active
AGNCP,,NASDAQ,Stock,2/5/2020,null,Active
AGO,Assured Guaranty Ltd,NYSE,Stock,4/23/2004,null,Active
AGO-P-B,Assured Guaranty Ltd,NYSE,Stock,9/22/2014,null,Active
AGO-P-E,Assured Guaranty Ltd,NYSE,Stock,4/1/2010,null,Active
AGO-P-F,Assured Guaranty Ltd,NYSE,Stock,9/22/2014,null,Active
AGR,AGERE SYSTEMS INC,NYSE,Stock,12/17/2015,null,Active
AGRO,Adecoagro SA,NYSE,Stock,1/28/2011,null,Active
AGRX,Agile Therapeutics Inc,NASDAQ,Stock,5/23/2014,null,Active
AGS,PlayAGS Inc,NYSE,Stock,1/26/2018,null,Active
AGTC,Applied Genetic Technologies Corp,NASDAQ,Stock,3/27/2014,null,Active
AGX,Argan Inc,NYSE,Stock,8/18/1995,null,Active
AGYS,Agilysys Inc,NASDAQ,Stock,3/26/1990,null,Active
AHACU,Alpha Healthcare Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NASDAQ,Stock,9/18/2020,null,Active
AHC,A.H. Belo Corp Class A,NYSE,Stock,2/11/2008,null,Active
AHCO,DFB Healthcare Acquisitions Corp,NASDAQ,Stock,5/24/2018,null,Active
AHH,Armada Hoffler Properties Inc,NYSE,Stock,5/8/2013,null,Active
AHH-P-A,Armada Hoffler Properties Inc,NYSE,Stock,6/12/2019,null,Active
AHL-P-C,Aspen Insurance Holdings Limited 595 FixedtoFloating Rate Perpetual NonCumulative Preference Shares,NYSE,Stock,5/7/2013,null,Active
AHL-P-D,Aspen Insurance Holdings Limited 5625 Perpetual NonCumulative Preference Shares,NYSE,Stock,9/14/2016,null,Active
AHPI,Allied Healthcare Products Inc,NASDAQ,Stock,1/14/1992,null,Active
AHT,Ashford Hospitality Trust Inc,NYSE,Stock,8/26/2003,null,Active
AHT-P-D,Ashford Hospitality Trust Inc,NYSE,Stock,9/22/2014,null,Active
AHT-P-F,Ashford Hospitality Trust Inc,NYSE,Stock,7/20/2016,null,Active
AHT-P-G,Ashford Hospitality Trust Inc,NYSE,Stock,10/17/2016,null,Active
AHT-P-H,Ashford Hospitality Trust Inc,NYSE,Stock,8/17/2017,null,Active
AHT-P-I,Ashford Hospitality Trust Inc,NYSE,Stock,11/9/2017,null,Active
